,Time,Power
0,0.5,-0.019089000000000005
1,1.5,-0.019089000000000005
2,2.5,-0.019089000000000005
3,3.5,-0.019089000000000005
4,4.5,-0.019089000000000005
5,5.5,-0.019089000000000005
6,6.5,-0.019089000000000005
7,7.5,-0.019089000000000005
8,8.5,203.5590398348009
9,9.5,616.7628317567768
10,10.5,899.1730566761958
11,11.5,1074.0590402524742
12,12.5,1168.7101655969016
13,13.5,1158.406378970204
14,14.5,1047.3262586129756
15,15.5,837.0791024422035
16,16.5,504.3507782028152
17,17.5,73.24831862019214
18,18.5,-0.019089000000000005
19,19.5,-0.019089000000000005
20,20.5,-0.019089000000000005
21,21.5,-0.019089000000000005
22,22.5,-0.019089000000000005
23,23.5,-0.019089000000000005
24,24.5,-0.019089000000000005
25,25.5,-0.019089000000000005
26,26.5,-0.019089000000000005
27,27.5,-0.019089000000000005
28,28.5,-0.019089000000000005
29,29.5,-0.019089000000000005
30,30.5,-0.019089000000000005
31,31.5,-0.019089000000000005
32,32.5,114.19884723115128
33,33.5,631.2830618173447
34,34.5,924.1918765486133
35,35.5,1108.2502913764133
36,36.5,1191.2779033937597
37,37.5,1172.8183997377632
38,38.5,1050.7302897647908
39,39.5,835.5901151433345
40,40.5,505.9353013006844
41,41.5,74.59784549887122
42,42.5,-0.019089000000000005
43,43.5,-0.019089000000000005
44,44.5,-0.019089000000000005
45,45.5,-0.019089000000000005
46,46.5,-0.019089000000000005
47,47.5,-0.019089000000000005
48,48.5,-0.019089000000000005
49,49.5,-0.019089000000000005
50,50.5,-0.019089000000000005
51,51.5,-0.019089000000000005
52,52.5,-0.019089000000000005
53,53.5,-0.019089000000000005
54,54.5,-0.019089000000000005
55,55.5,-0.019089000000000005
56,56.5,69.97027912921035
57,57.5,322.80552565651124
58,58.5,882.4126246617897
59,59.5,1052.2905307996627
60,60.5,1125.7340075098748
61,61.5,1107.8038061770312
62,62.5,988.1348507451532
63,63.5,694.9544797901206
64,64.5,474.13078462354235
65,65.5,24.112877068162735
66,66.5,-0.019089000000000005
67,67.5,-0.019089000000000005
68,68.5,-0.019089000000000005
69,69.5,-0.019089000000000005
70,70.5,-0.019089000000000005
71,71.5,-0.019089000000000005
72,72.5,-0.019089000000000005
73,73.5,-0.019089000000000005
74,74.5,-0.019089000000000005
75,75.5,-0.019089000000000005
76,76.5,-0.019089000000000005
77,77.5,-0.019089000000000005
78,78.5,-0.019089000000000005
79,79.5,-0.019089000000000005
80,80.5,187.978255682115
81,81.5,588.7400324600272
82,82.5,871.1554182182023
83,83.5,1051.788811905796
84,84.5,1138.986299752361
85,85.5,1126.608037574876
86,86.5,1012.897618043624
87,87.5,796.950977203744
88,88.5,480.4430954598279
89,89.5,73.17568429253335
90,90.5,-0.019089000000000005
91,91.5,-0.019089000000000005
92,92.5,-0.019089000000000005
93,93.5,-0.019089000000000005
94,94.5,-0.019089000000000005
95,95.5,-0.019089000000000005
96,96.5,-0.019089000000000005
97,97.5,-0.019089000000000005
98,98.5,-0.019089000000000005
99,99.5,-0.019089000000000005
100,100.5,-0.019089000000000005
101,101.5,-0.019089000000000005
102,102.5,-0.019089000000000005
103,103.5,-0.019089000000000005
104,104.5,188.46252961345607
105,105.5,595.3546456104555
106,106.5,870.2325192530832
107,107.5,1036.306305249398
108,108.5,1107.3263680480131
109,109.5,1086.017264928363
110,110.5,973.4285383479069
111,111.5,779.0145422614655
112,112.5,480.70218181368716
113,113.5,81.82192084376447
114,114.5,-0.019089000000000005
115,115.5,-0.019089000000000005
116,116.5,-0.019089000000000005
117,117.5,-0.019089000000000005
118,118.5,-0.019089000000000005
119,119.5,-0.019089000000000005
120,120.5,-0.019089000000000005
121,121.5,-0.019089000000000005
122,122.5,-0.019089000000000005
123,123.5,-0.019089000000000005
124,124.5,-0.019089000000000005
125,125.5,-0.019089000000000005
126,126.5,-0.019089000000000005
127,127.5,-0.019089000000000005
128,128.5,100.70401017907199
129,129.5,588.9703453852111
130,130.5,865.2515159013226
131,131.5,1041.9041918130263
132,132.5,1128.0542104267975
133,133.5,1113.2317956170818
134,134.5,997.7019804240135
135,135.5,793.4533599819481
136,136.5,490.63309748924365
137,137.5,36.45508279342753
138,138.5,-0.019089000000000005
139,139.5,-0.019089000000000005
140,140.5,-0.019089000000000005
141,141.5,-0.019089000000000005
142,142.5,-0.019089000000000005
143,143.5,-0.019089000000000005
144,144.5,-0.019089000000000005
145,145.5,-0.019089000000000005
146,146.5,-0.019089000000000005
147,147.5,-0.019089000000000005
148,148.5,-0.019089000000000005
149,149.5,-0.019089000000000005
150,150.5,-0.019089000000000005
151,151.5,-0.019089000000000005
152,152.5,75.68692686973901
153,153.5,316.0547078711669
154,154.5,592.548389212394
155,155.5,787.1837527871845
156,156.5,790.4238362490845
157,157.5,875.2609726970945
158,158.5,984.9198699234205
159,159.5,791.3277992063871
160,160.5,484.35422120235893
161,161.5,86.0760846385185
162,162.5,-0.019089000000000005
163,163.5,-0.019089000000000005
164,164.5,-0.019089000000000005
165,165.5,-0.019089000000000005
166,166.5,-0.019089000000000005
167,167.5,-0.019089000000000005
168,168.5,-0.019089000000000005
169,169.5,-0.019089000000000005
170,170.5,-0.019089000000000005
171,171.5,-0.019089000000000005
172,172.5,-0.019089000000000005
173,173.5,-0.019089000000000005
174,174.5,-0.019089000000000005
175,175.5,-0.019089000000000005
176,176.5,175.0237322756563
177,177.5,574.4891998901173
178,178.5,859.3848491651611
179,179.5,1039.3199869177497
180,180.5,1125.384400819238
181,181.5,1107.7593717451255
182,182.5,996.3584775400572
