,Time,Power
0,0.5,44.15075953353961
1,1.5,68.69255272780165
2,2.5,71.69561036141835
3,3.5,71.32729928363555
4,4.5,72.76836268128189
5,5.5,70.9308605636974
6,6.5,69.65646571418138
7,7.5,51.992745117934675
8,8.5,26.745551357743263
9,9.5,46.22566114135881
10,10.5,50.59269417941238
11,11.5,34.097859636811904
12,12.5,19.9348233004072
13,13.5,10.797396241449846
14,14.5,10.558416245755549
15,15.5,12.8020796248497
16,16.5,15.809403625861783
17,17.5,6.652585737796446
18,18.5,19.938783750702555
19,19.5,72.84149357969328
20,20.5,74.95032907359
21,21.5,75.46763895046954
22,22.5,73.53392666758971
23,23.5,76.04322083611368
24,24.5,82.12052089301564
25,25.5,83.40799757050185
26,26.5,83.41204890722526
27,27.5,82.86894305421067
28,28.5,72.5462493127331
29,29.5,69.61818418655649
30,30.5,65.74860471635749
31,31.5,54.54308397265266
32,32.5,43.267753711081696
33,33.5,51.035133071255956
34,34.5,21.481974801151164
35,35.5,12.709057355330748
36,36.5,17.2805751601016
37,37.5,21.68874683572973
38,38.5,14.819664406268814
39,39.5,32.52567326639553
40,40.5,42.106685957389175
41,41.5,54.44808735240586
42,42.5,64.0690831844721
43,43.5,72.00573417986891
44,44.5,64.7253311713597
45,45.5,59.042007086045395
46,46.5,66.30433375783197
47,47.5,68.46647703641666
48,48.5,62.3063325284292
49,49.5,71.44742983140459
50,50.5,76.60485264485068
51,51.5,72.0119984321499
52,52.5,63.404182501444716
53,53.5,59.58388174895015
54,54.5,59.09129450755345
55,55.5,46.88919772915581
56,56.5,39.54582706941316
57,57.5,39.78583831667271
58,58.5,35.64170465064295
59,59.5,18.41454001485425
60,60.5,1.5857434431229
61,61.5,0.36966392323345754
62,62.5,2.2997476087888464
63,63.5,1.6294656869719064
64,64.5,4.19676266822953
65,65.5,10.417153319652867
66,66.5,29.854801353365414
67,67.5,43.604209161116756
68,68.5,45.52988553129547
69,69.5,48.11599964042247
70,70.5,48.9766718464693
71,71.5,45.19112837635697
72,72.5,49.16612900993829
73,73.5,59.8534223780684
74,74.5,42.499074002521105
75,75.5,27.94499870131927
76,76.5,13.059272264876522
77,77.5,8.432428756728521
78,78.5,6.38476755254726
79,79.5,2.5886281899543184
80,80.5,0.37498813185012203
81,81.5,0.06757325746567483
82,82.5,0.0
83,83.5,0.0
84,84.5,0.0
85,85.5,0.0
86,86.5,0.17015352642957157
87,87.5,0.5238537690886734
88,88.5,3.2123088152063892
89,89.5,5.119071157148831
90,90.5,6.751615450684635
91,91.5,37.17494691114817
92,92.5,79.95349408140456
93,93.5,82.65271382243372
94,94.5,82.26426532244746
95,95.5,81.84128201936926
96,96.5,82.53410104358302
97,97.5,82.09999226379837
98,98.5,82.51590730965572
99,99.5,82.62083365845295
100,100.5,82.70429396499792
101,101.5,83.3696358814916
102,102.5,82.31537463623225
103,103.5,81.29014552228874
104,104.5,77.2898951755504
105,105.5,68.30754962997005
106,106.5,45.77329541535163
107,107.5,25.340497726022498
108,108.5,17.619794482119993
109,109.5,11.022000167559037
110,110.5,9.536031029152884
111,111.5,12.834748870071575
112,112.5,16.70623595569141
113,113.5,15.381416670013191
114,114.5,26.62024919718779
115,115.5,28.65815747235878
116,116.5,60.66506279247047
117,117.5,40.74025770743226
118,118.5,29.248140668080573
119,119.5,32.04251478723233
120,120.5,26.10283794637239
121,121.5,28.59254814202326
122,122.5,34.166200232354875
123,123.5,38.638715541018826
124,124.5,30.870679351931546
125,125.5,19.636321671138855
126,126.5,12.94092762024156
127,127.5,6.471408378924958
128,128.5,5.097595942849759
129,129.5,0.9173878449160456
130,130.5,0.8017382385988503
131,131.5,0.13366499598271905
132,132.5,0.2844358255497167
133,133.5,0.5153806716357334
134,134.5,0.7305209232195846
135,135.5,0.4031636230804486
136,136.5,1.9769490328364898
137,137.5,2.379134793514481
138,138.5,7.886268472113763
139,139.5,19.77088506512236
140,140.5,11.006199887883913
141,141.5,14.44000258313129
142,142.5,21.26623960814761
143,143.5,40.637303582081735
144,144.5,47.48779444627565
145,145.5,36.27525693706184
146,146.5,26.488472118159006
147,147.5,18.57712891928877
148,148.5,19.73762647763771
149,149.5,25.31092014460643
150,150.5,26.513294216266704
151,151.5,26.4208062778271
152,152.5,22.459172418333967
153,153.5,21.050328942414605
154,154.5,16.639270508019592
155,155.5,11.029364273374183
156,156.5,1.9781287612490297
157,157.5,4.759232393989863
158,158.5,14.357963106814886
159,159.5,15.673813343357804
160,160.5,19.513800455985166
161,161.5,31.032977233453416
162,162.5,48.54461723447184
163,163.5,46.84546756472944
164,164.5,51.727663918840264
165,165.5,47.54766546889387
166,166.5,30.604502600084523
167,167.5,27.042125197569547
168,168.5,24.757150781754277
169,169.5,23.605664022698903
170,170.5,21.56033370168911
171,171.5,18.922850707911017
172,172.5,20.699340405433777
173,173.5,22.992081669946426
174,174.5,27.693790941531375
175,175.5,40.29037925708358
176,176.5,44.77210564008068
177,177.5,44.13185465260501
178,178.5,29.834364663222882
179,179.5,10.765133120044714
180,180.5,26.62039941434097
181,181.5,33.40179633748871
182,182.5,27.68215586509391
183,183.5,32.34915374432956
184,184.5,37.90926474464441
185,185.5,18.292265762307323
186,186.5,42.58732839664012
187,187.5,42.42131266933954
188,188.5,26.158097721382735
189,189.5,35.630930848161626
190,190.5,21.401039462683013
191,191.5,37.00790575624049
192,192.5,56.8353013761395
193,193.5,58.272439020362256
194,194.5,40.83886324684674
195,195.5,32.04968132717205
196,196.5,41.83006693217366
197,197.5,40.873476586965836
198,198.5,25.442928064016144
